序号,标题,发文单位,发文时间,文号,政策类别,正文,来源URL
80,"""中国纺织之乡""，成为线上纺织新高地",中国新闻网,2024-09-12,,纺织行业、电子商务、品牌建设,"高阳县是""中国纺织之乡""，近年来，高阳纺织在电商大潮下迅速崛起，如今拥有淘宝乡镇4个，电商企业千余家，电商店铺上万家，成为线上纺织的""新高地""。官方数据显示，2023年高阳县快递业务量25483.91万件，同比增长51.12%，业务量排名全市第一，全省第二。2024年1-7月，高阳县快递业务量19000万件，同比增长43.39%，保持优势地位。三利毛巾2008年成为某电商平台第一批自营商家，2014年着重在电商领域发力后，目前其已成为电商家纺类目头部品牌。目前各大电商平台上，高阳参与""直播""的企业在2000家以上，纺织业年网上交易额达50亿元。",https://www.chinanews.com.cn/cj/2024/09-12/10284615.shtml
81,河北高阳县全力推进纺织产业高质量发展,中国纺织经济信息网,2024-03-12,,纺织行业、产业升级、数字化转型、循环经济,日前，高阳县循环经济示范县建设顺利通过国家有关部门验收，成为国家循环经济示范县。抓技改，提升纺织产业质量效益。近年来，高阳大力支持纺织企业加快技术改造和设备更新，县财政每年拿出500万元专项资金，大力支持纺织企业进行技术改造、更新生产设备。目前，全县拥有国内外先进无梭织机2万台套，近两年新增7000多台套；40多家印染企业陆续入园，更新升级了先进设备。重创新，激发纺织产业内生动力。制定出台《高阳县促进科技创新的支持奖励政策》《高阳县加强工业设计创新和成果保护的支持奖励政策》等系列文件，设立高阳县工业设计发展专项资金，每年安排200万元资金支持工业设计发展。促转型，推动纺织产业数字化发展。高阳县拓展应用场景、赋能企业数字化转型，推动纺织产业向高端化、智能化、绿色化方向发展。,http://news.ctei.cn/domestic/gnzx/202403/t20240313_4342776.htm
82,高阳毛巾纺织产业集群产值达742亿元,河北日报,2024,,毛巾产业、产业集群、品牌建设,"目前，高阳全县有纺织工贸企业4200余家，以毛巾为主，各家企业又开发出各类盖毯、床上用品以及棉柔巾等万余种商品。一条毛巾，在高阳延伸出一个产值742亿元的产业集群。2023年，高阳县毛巾纺织产业集群获评国家级中小企业特色产业集群。今年，""高阳毛巾""还被列入""首批中国消费名品区域品牌""。",http://m.toutiao.com/group/756066509795847875/
83,河北省毛巾产品质量分级导则 T/FXJXH 001-2025,河北省纺织纤维检验协会,2025,T/FXJXH 001-2025,毛巾产业、质量标准、品牌建设,河北省纺织纤维检验协会发布《河北省毛巾产品质量分级导则》（T/FXJXH 001-2025）。该标准对河北省毛巾产品的质量进行了分级规范，为毛巾产品的质量控制、等级评定提供了技术依据。这是高阳毛巾产业标准化建设的重要举措，有助于提升区域毛巾产品的整体质量水平和市场竞争力。,https://m.ebiaozhun.com/std/8126826d1ff54742a605e6f6139de4b6.html
84,2025年高阳县经济社会发展主要预期目标,凤凰网河北,2025-01-16,,纺织行业、政策支持、产业集群,"2025年，高阳县经济社会发展的主要预期目标包括：地区生产总值增长6.5%以上，规上工业增加值增长8.5%左右，一般公共预算收入增长6%左右，固定资产投资增长10%左右，社会消费品零售总额增长7%左右，城乡居民人均可支配收入分别增长6%和6.5%左右。2025年，高阳县将""走好九条路""，包括走好全链条产业转型之路，打造结构更优的智造高阳；走好一体化绿色转型之路，打造底色更靓的生态高阳。",https://hebei.ifeng.com/c/8gBylbyt5fb
85,保定高阳县推动传统纺织产业高端化智能化绿色化发展,长城网,2025-04-23,,纺织行业、数字化转型、品牌建设、环保治理,"承载着400年左右的纺织历史，毛巾产量占全国三分之一，高阳县享有""中国纺织之乡""的美誉。日前，高阳县又迎来喜讯，""高阳毛巾""被工业和信息化部确定为""中国消费名品区域品牌""。截至2024年底，高阳县拥有纺织类中小企业4200家，毛巾纺织产业集群规模以上工业企业116家，纺织业总产值达740亿元，占全县工业总产值的75%左右。先后获得国家中小企业特色产业集群、国家外贸转型升级示范基地县、亚洲电商产业带示范基地、中国纺织之乡、中国纺织基地县、中国毛巾·毛毯名城、河北省先进制造业集群、河北省""三品""战略示范城市等诸多荣誉。绿色转型，绘就生态发展图景：围绕""五联、六共、七智、八化""发展思路，高阳县推动印染企业搬迁入园。数字赋能，助推产业转型升级：该平台集聚高阳县及周边纺织全产业链资源要素。品牌驱动，提升市场竞争能力：高阳县出台多项支持企业发展的扶持政策，与多家高等院校建立合作关系。",https://bd.hebccw.cn/system/2025/04/22/102055296.shtml
86,"""高阳毛巾""成为中国消费名品区域品牌",人民网-河北频道,2025-03-05,,毛巾产业、品牌建设、数字化转型,"日前，河北省""高阳毛巾""被国家工业和信息化部确定为中国消费名品区域品牌。高阳纺织业始于明末，兴于晚清，盛于民初，繁荣于改革开放，400多年历史长盛不衰，毛巾产量占全国三分之一。近年来，高阳县以高质量发展为引领，推动传统纺织产业走上高端化、智能化、绿色化发展的转型之路。加速集群数字化转型。高阳县建设运营高阳亿尚毛巾数字化服务平台，打造纺织""产业大脑""，形成线上线下相结合的""虚拟集团""；培育打造了永亮、图强、三利、宏润4个省级数字化车间。区域品牌打造与推广。高阳县全力打造""高阳优品""区域品牌，制定高于国家和行业标准的优品标准体系，提升品牌价值。大力推广绿色工艺。高阳县大力推动印染最新V3.0""零排放""工艺实施，引入智能自动化印染前处理生产线。截至2024年底，高阳县拥有纺织类中小企业4200家，毛巾纺织产业集群规模以上工业企业116家，纺织业总产值可达740亿元，占全县工业总产值的75%左右。",http://he.people.com.cn/BIG5/n2/2025/0305/c192235-41154616.html
87,河北省特色产业集群发展经验交流 | 数字化引领高阳纺织产业集群的转型之路,河北省工业和信息化厅,2025-01-09,,数字化转型、纺织行业、产业集群、政策支持,"高阳纺织产业集群一路""披荆斩棘""，成功崛起为一个集纺纱、织造、印染、服装等全产业链于一体的现代化纺织产业集群。纺织企业数量4200余家，规模以上企业116家，拥有国家级绿色工厂1个、国家级众创空间1家、省级科技企业孵化器1家、培育出51家高新技术企业和16家""专精特新""中小企业。集群产值在全县工业总产值中占比超60%，是高阳县经济的""顶梁柱""，产品远销100多个国家和地区。2024年1-11月，高阳县毛巾纺织产业总产值完成600.53亿元，同比增长10.1%。

（一）注重政策引领，科学制定规划。高阳县出台《""数字高阳""建设方案》等政策文件，明确目标任务，加大投资支持，为企业数字化转型""撑腰打气""。

（二）设立研发基金，注重人才培养。以冀中药业、宏润公司等为代表的17家企业设立了1.64亿元的""资金池""，成功实施科技成果转化项目28个。

（三）推进数字改造，建设共享工厂。培育打造永亮、图强、三利、宏润4个省级数字化车间。

（四）打造产业大脑，强化平台赋能。建设运营高阳亿尚毛巾数字化服务平台，打造纺织""产业大脑""。

（五）深化品牌建设，提升产品附加值。高阳县大力培育""高阳毛巾""区域品牌。",https://gxt.hebei.gov.cn/hbgyhxxht/xwzx32/stdt65/2025041919133291914/index.html
88,高阳县未来10年发展方向规划方案,高阳县政府,2025,,纺织行业、产业集群、政策支持、品牌建设,"织就千年纺乡新图景——保定市高阳县未来10年发展方向规划方案。

一、战略愿景：锚定三重坐标，绘就发展蓝图
高阳县的未来10年，是立足自身根基、借力区域红利、拥抱时代变革的10年。我们将以精准的战略定位为罗盘，以清晰的阶段目标为灯塔。

（一）核心战略定位
1. 全国纺织商贸名城：以纺织产业数智化转型为核心，打通研发、设计、生产、销售全产业链，扩大""高阳毛巾""区域品牌影响力，打造千亿级产业集群和""世界纺客目的地""。
2. 环雄安现代产业承载地：立足雄安南大门的区位优势，构建""雄安研发+高阳制造""的协作模式。
3. 保东南城乡融合发展示范区：推动城乡基础设施互联互通、公共服务均等化、产业发展协同化。
4. 白洋淀南绿色发展示范区：坚守生态底线，深化循环经济实践，筑牢白洋淀生态屏障。

二、产业升级：织强""纺织内核""，培育""多元引擎""
产业是县域发展的根基，高阳县将以纺织产业转型升级为核心，同步培育新兴产业、壮大配套产业，构建""一核引领、多极支撑""的现代产业体系。

（一）纺织产业：从""规模优势""到""品质标杆""的蝶变
1. 数智赋能，打造""产业大脑""：深化纺织产业数字化服务平台建设。
2. 品牌聚力，做强""高阳优品""：完善""高阳优品""标准体系，将准入门槛与国际先进标准接轨。
3. 绿色转型，构建""循环生态""：全面推进共享智造·生态印染产业园建设。",http://m.toutiao.com/group/7593559005897835058/
89,高阳共享智造赋能产业绿色转型,河北省工业和信息化厅,2026-03-20,,纺织行业、环保治理、产业集群、共享工厂,"高阳是全国著名的纺织之乡，纺织产业获评国家中小企业特色产业集群，年产值达852亿元。近年来，高阳县以共享智造·生态印染产业园为载体，以龙头企业引领的共享工厂为抓手，系统推进产业绿色转型与共享赋能。

聚焦绿色转型，以""五个集中""重塑产业生态：
1.坚持抱团入园、推动产能集中整合。推进一二期总投资14.25亿元、占地447亩的13个印染企业入园项目建设，实现全县印染产能全部入园集中承载。
2.坚持绿色发展，实现污水集中处理。盘活污水处理厂闲置三期设施，节约建设用地208亩，减少土地投资8320万元。
3.坚持低碳循环，实现能源集中利用。优化集中供热工程，减少输送管道70余公里，基本实现热量""零损耗""。
4.坚持配套保障，实现要素集中供给。实施总投资6.87亿元的园区基础设施及配套建设项目。
5.坚持智慧赋能，实现数据集中管理。搭建智慧园区管理平台，对生产、能耗、排放等数据进行深度共享。

龙头引领示范，共享工厂激活中小企业新动能：
以河北圣翔纺织科技有限公司为代表的龙头企业，率先探索""共享工厂""模式，把高端设备、先进工艺、研发技术等向中小纺织企业开放共享。",https://gxt.hebei.gov.cn/hbgyhxxht/xwzx32/dfgz28/2026032009422397104/index.html
90,高阳家纺亮相燕赵品牌发展大会 解码家纺集群发展之道,新华网,2026-05-12,,纺织行业、品牌建设、产业集群、数字化转型,"2026世界品牌莫干山大会燕赵品牌发展大会5月11日在浙江省湖州市德清县举行。河北省高阳县委副书记、县长赵胜男在会上围绕""赓续百年纺织文脉 打造千亿家纺集群""主题，分享了高阳家纺产业发展及品牌建设经验。高阳纺织在民国时期就已享誉全国，有""桂林山上无杂木，高阳花布四季新""的美誉。全县现有纺织企业4200余家、从业者12.5万余人，年产毛巾约50亿条，产业产值达852亿元。高阳县毛巾纺织产业集群获评国家级中小企业特色产业集群，高阳毛巾区域品牌入选首批中国消费名品名单。高阳家纺已构建起全品类、全场景、全龄段的产品体系。床品、布艺、宠物用品等一应俱全；深耕抗菌抑菌、冷感速干等专业功能，覆盖居家日用、运动户外、酒店康养、医护清洁等使用场景；在使用人群上兼顾老幼、呵护全家；在时尚方面引领潮流，或将萌趣形象""织""入产品吸引年轻群体，或推出""会唱曲的毛巾""，或与国际品牌、机构联名，提升海外美誉度。高阳家纺产品不仅畅销全国，更远销全球100多个国家和地区。在智能化发展方面，高阳围绕原料集采、科技研发、中试验证、工业设计、生产设备、关键工序等9个环节，打造了共享智造的""高阳模式""，全产业链数字化、协同化、集约化水平实现跨越式提升。",http://he.news.cn/20260512/59b6d1f5da7f4b0c89f2b9b1a52fd002/c.html
91,高阳毛巾制品 毛巾 团体标准 T/FXJXH 003-2025,河北省纺织纤维检验协会,2026-01-04,T/FXJXH 003-2025,毛巾产业、质量标准、品牌建设、创新研发,河北省纺织纤维检验协会发布《高阳毛巾制品 毛巾》团体标准（T/FXJXH 003-2025），于2026年1月4日发布并实施。该标准规定了高阳毛巾产品的术语和定义、要求、抽样、试验方法、检验规则和标志包装。适用于以纺织纤维为原料的各类毛巾产品。标准对产品的基本安全技术要求应符合GB 18401规定，婴幼儿及儿童产品应符合GB 31701规定。产品的质量分为优等品、一等品和合格品。内在质量包括重量偏差率、断裂强力、吸水性、脱毛率、纤维含量偏差和色牢度。优等品吸水性≤5秒，一等品≤10秒，合格品≤15秒。脱毛率优等品≤0.5%，一等品≤1.0%，合格品≤1.5%。外观质量包括规格尺寸偏差率、疵点、缝制质量和整烫质量。起草单位包括国家羊绒产品质量检验检测中心、河北柏立信家纺股份有限公司、河北宏润新型面料有限公司、河北金温迪纺织有限公司、如是河北纺织品制造有限公司、河北三利毛纺有限公司、高阳县尚品家纺制造有限公司、河北向峰制造有限公司、河北旭升纺织有限公司等。该文本规范文件主要针对高阳地区生产的毛巾类产品制定了统一的技术要求与检测方法，为毛巾制品的原料选用、生产加工及成品检验提供了具体的技术依据。,https://www.spc.org.cn/online/a1078d124e0f5cc17dea7e49dd51a609.html
92,河北柏立信家纺股份有限公司企业简介,企查查,2026,,毛巾产业、品牌建设、外贸出口、数字化转型,"河北柏立信家纺股份有限公司成立于2009年4月，董事长为刘俊山。公司专注于毛巾产品的研发与生产，拥有柏立信、朵柔两个自主品牌，产品线覆盖毛巾的浆、织、漂、染、绣等完整生产流程。企业配备国际先进的津田驹喷气织机和苏尔寿剑杆织机等设备，年产能达3200吨，产品主要销往欧盟、日本、美国及东南亚等34个国家和地区。公司注册资本4616万元，坐落于""中国纺织之乡""河北高阳，位于雄安新区大经济区，占地面积67000平方米，总资产3.5亿元。2011年淘汰落后产能，升级改造，投资2亿元建立现代化新厂区，引进意大利""宝马泰克""剑杆提花织机、日本""丰田""喷气提花织机，进行设备数字化、自动化、智能化更新改造和工艺升级。2013年在天津股权交易所挂牌上市。多年来，企业出口量稳居河北同行业首位。专注毛巾制品出口20余年，年出口额超1.6亿元，占公司年产值的95%以上。通过了ISO9001质量管理体系和OEKO-TEX Standard 100欧洲生态纺织认证，成为Sedex成员、迪士尼中国授权商。荣获""河北省名牌产品""称号、""十佳诚信企业""称号、""国家高新技术企业""认定、被河北省工业和信息化厅认定为工业企业技术研发中心。在高阳县推动纺织产业向品牌化、高端化、数字化转型的背景下，该公司通过参与""高阳优品""集体品牌建设，进一步巩固了市场地位。2026年5月参加2026世界品牌莫干山大会燕赵品牌发展大会并进行展览推介。",https://www.qixin.com/company/2c9a9b45-084e-44e2-803d-e23c806edc81
